audio_path,transcript
data/train/clip_011.wav,can I have a drink of water please
data/train/clip_012.wav,being and time
data/train/clip_013.wav,i will see you again someday
data/train/clip_014.wav,your car looks damaged 
data/train/clip_015.wav,can't you see the plane
data/train/clip_016.wav,what 
data/train/clip_017.wav,and
data/train/clip_018.wav,all bachelors are unmarried men
data/train/clip_019.wav,i am very sleepy tonight
data/train/clip_020.wav,morning 
data/train/clip_021.wav,good day to you sir 
data/train/clip_022.wav,but 
data/train/clip_023.wav,yeah no
data/train/clip_024.wav,i will not do that
data/train/clip_025.wav,maybe tomorrow 
data/train/clip_026.wav,and your name is
data/train/clip_027.wav,please don't do that
data/train/clip_028.wav,thanks 
data/train/clip_029.wav,you're welcome 
data/train/clip_030.wav,the car is fast
data/train/clip_031.wav,it is red and blue 
data/train/clip_032.wav,nice
data/train/clip_033.wav,apple 
data/train/clip_034.wav,google 
data/train/clip_035.wav,amazon 
data/train/clip_036.wav,that is the only way 
data/train/clip_037.wav,crazy 
data/train/clip_038.wav,next year 
data/train/clip_039.wav,let's go 
data/train/clip_040.wav,i remember 
data/train/clip_041.wav,i'm sorry 
data/train/clip_042.wav,no you are not
data/train/clip_043.wav,the Ferrari is red
data/train/clip_044.wav,that man is bad
data/train/clip_045.wav,the sad man is fat
data/train/clip_046.wav,i listen to electronic music 
data/train/clip_047.wav,is that you 
data/train/clip_048.wav,it is blurry 
data/train/clip_049.wav,nice picture 
data/train/clip_050.wav,great 
